adjective,class
wooden,material
plastic,material
metallic,material
glass,material
ceramic,material
leather,material
fabric,material
white,color
black,color
beige,color
gray,color
brown,color
red,color
blue,color
green,color
yellow,color
orange,color
purple,color
pink,color
cyan,color
magenta,color
teal,color
maroon,color
navy,color
olive,color
gold,color
silver,color
soft,texture
hard,texture
smooth,texture
rough,texture
polished,finish
matte,finish
shiny,finish
clean,condition
dirty,condition
stained,condition
broken,condition
new,age
old,age
modern,style
classic,style
vintage,style
minimalist,style
